10007,100090009,2018-12-08
10008,100340034,2018-03-11
10009,100220022,2018-08-13
10002,100180018,2018-12-22
10009,100260026,2018-02-05
10006,100300030,2018-11-30
10002,100420042,2018-11-02
10003,100280028,2018-07-09
10004,100470047,2018-02-10
10009,100070007,2018-11-19
10010,100120012,2018-12-24
10007,100360036,2018-09-28
10008,100200020,2018-12-22
10006,100110011,2018-10-05
10010,100380038,2018-11-06
10015,100030003,2018-09-10
10009,100350035,2018-03-12
10012,100030003,2018-07-03
10013,100100010,2018-10-06
10002,100420042,2018-11-19
10009,100170017,2018-12-03
10002,100150015,2018-04-04
10001,100410041,2018-01-23
10007,100100010,2018-04-09
10003,100100010,2018-06-30
10002,100120012,2018-02-02
10002,100450045,2018-11-22
10001,100260026,2018-08-31
10006,100230023,2018-10-26
10004,100450045,2018-06-09
10011,100330033,2018-10-27
10003,100180018,2018-11-23
10001,100280028,2018-07-04
10004,100140014,2018-10-17
10002,100440044,2018-01-28
10011,100170017,2018-03-18
10001,100180018,2018-11-10
10014,100050005,2018-12-25
10004,100300030,2018-11-14
10010,100290029,2018-03-30
10005,100120012,2018-09-03
10002,100020002,2018-12-20
10002,100310031,2018-11-01
10009,100100010,2018-09-26
10006,100450045,2018-02-18
10015,100270027,2018-05-05
10008,100020002,2018-02-11
10001,100380038,2018-04-06
10001,100390039,2018-04-15
10004,100030003,2018-10-04
10005,100300030,2018-12-01
10006,100220022,2018-05-05
10009,100170017,2018-11-08
10003,100240024,2018-08-06
10003,100410041,2018-12-18
10008,100210021,2018-09-21
10015,100160016,2018-11-14
10010,100470047,2018-01-27
10009,100220022,2018-05-02
10005,100220022,2018-07-08
10007,100310031,2018-02-14
10010,100330033,2018-11-04
10012,100120012,2018-02-08
10004,100330033,2018-10-22
10003,100390039,2018-12-15
10014,100100010,2018-01-12
10011,100030003,2018-12-22
10010,100340034,2018-02-03
10004,100050005,2018-10-02
10010,100190019,2018-12-07
10001,100190019,2018-02-26
10013,100370037,2018-03-20
10005,100130013,2018-05-06
10001,100180018,2018-11-21
10005,100210021,2018-01-09
10013,100390039,2018-11-03
10010,100170017,2018-05-24
10011,100220022,2018-08-18
10014,100230023,2018-11-14
10004,100030003,2018-11-22
10001,100190019,2018-12-07
10008,100080008,2018-05-11
10001,100240024,2018-08-03
10001,100290029,2018-11-08
10009,100080008,2018-02-18
10006,100360036,2018-12-08
10012,100010001,2018-10-30
10005,100320032,2018-05-29
10013,100010001,2018-07-07
10005,100080008,2018-08-19
10005,100150015,2018-09-21
10009,100430043,2018-12-11
10004,100310031,2018-03-17
10001,100350035,2018-07-11
10001,100350035,2018-01-20
10003,100230023,2018-03-02
10008,100020002,2018-06-28
10009,100350035,2018-02-22
10002,100110011,2018-01-27
10004,100370037,2018-12-29
10007,100020002,2018-06-19
10009,100250025,2018-07-15
10012,100160016,2018-06-03
10004,100290029,2018-12-19
10004,100050005,2018-12-24
10004,100260026,2018-01-22
10008,100380038,2018-04-19
10012,100330033,2018-04-24
10011,100120012,2018-11-04
10008,100360036,2018-03-18
10001,100260026,2018-02-23
10010,100030003,2018-08-24
10009,100070007,2018-04-15
10004,100240024,2018-11-19
10007,100460046,2018-02-04
10005,100060006,2018-05-12
10009,100250025,2018-11-18
10015,100350035,2018-12-24
10007,100010001,2018-05-14
10002,100190019,2018-03-16
10012,100240024,2018-01-01
10002,100440044,2018-07-22
10008,100020002,2018-01-01
10004,100350035,2018-10-04
10014,100010001,2018-02-02
10001,100420042,2018-04-18
10012,100420042,2018-02-13
10015,100380038,2018-09-17
10010,100320032,2018-11-25
10010,100030003,2018-07-20
10009,100220022,2018-06-06
10004,100400040,2018-03-24
10008,100450045,2018-11-17
10014,100060006,2018-12-30
10014,100280028,2018-05-10
10007,100230023,2018-05-05
10006,100090009,2018-02-11
10009,100360036,2018-11-09
10015,100020002,2018-09-16
10008,100180018,2018-05-18
10012,100260026,2018-05-24
10006,100200020,2018-08-05
10006,100350035,2018-08-23
10007,100380038,2018-09-07
10004,100420042,2018-09-29
10002,100060006,2018-01-27
10001,100340034,2018-05-21
10005,100150015,2018-11-15
10010,100280028,2018-05-30
10011,100170017,2018-10-14
10013,100080008,2018-11-23
10013,100080008,2018-10-12
10009,100090009,2018-05-10
10007,100150015,2018-10-07
10002,100180018,2018-06-02
10002,100110011,2018-10-24
10011,100220022,2018-11-19
10015,100120012,2018-04-23
10015,100120012,2018-04-03
10009,100370037,2018-05-20
10012,100450045,2018-03-06
10002,100010001,2018-02-04
10004,100060006,2018-08-20
10005,100040004,2018-10-05
10014,100040004,2018-02-22
10008,100030003,2018-01-17
10009,100390039,2018-11-09
10005,100470047,2018-08-17
10002,100330033,2018-01-22
10001,100050005,2018-11-21
10003,100290029,2018-10-18
10011,100030003,2018-03-14
10005,100340034,2018-08-02
10005,100210021,2018-08-10
10007,100450045,2018-12-24
10006,100350035,2018-02-07
10009,100420042,2018-02-25
10012,100330033,2018-10-01
10012,100240024,2018-01-11
10007,100040004,2018-08-18
10010,100180018,2018-04-19
10008,100390039,2018-07-03
10009,100290029,2018-07-25
10009,100300030,2018-02-07
10001,100140014,2018-05-25
10011,100170017,2018-09-04
10010,100250025,2018-06-23
10015,100450045,2018-02-26
10004,100410041,2018-05-17
10014,100280028,2018-04-21
10012,100310031,2018-04-30
10015,100410041,2018-04-07
10013,100170017,2018-10-18
10008,100010001,2018-09-27
10010,100450045,2018-06-04
10014,100230023,2018-07-15
10010,100210021,2018-03-11
10007,100210021,2018-11-12
10012,100120012,2018-08-31
10001,100150015,2018-07-12
10009,100080008,2018-04-14
10012,100120012,2018-04-05
10004,100020002,2018-12-25
10002,100120012,2018-08-06
10013,100030003,2018-09-20
10011,100180018,2018-11-14
10006,100050005,2018-01-28
10003,100410041,2018-11-09
10015,100070007,2018-09-26
10015,100320032,2018-01-16
10006,100430043,2018-04-29
10002,100460046,2018-08-30
10004,100110011,2018-11-16
10011,100360036,2018-06-15
10011,100260026,2018-08-14
10002,100170017,2018-02-09
10004,100310031,2018-12-13
10014,100040004,2018-07-19
10002,100430043,2018-08-19
10007,100420042,2018-07-30
10013,100370037,2018-07-04
10003,100310031,2018-06-11
10015,100350035,2018-07-24
10014,100460046,2018-03-27
10001,100380038,2018-06-20
10010,100260026,2018-06-12
10011,100360036,2018-08-21
10007,100260026,2018-02-19
10007,100470047,2018-10-20
10009,100030003,2018-10-17
10010,100450045,2018-02-02
10012,100310031,2018-01-13
10002,100250025,2018-02-03
10005,100110011,2018-09-27
10008,100290029,2018-12-29
10014,100220022,2018-03-01
10015,100220022,2018-05-08
10004,100230023,2018-08-15
10001,100270027,2018-12-18
10013,100020002,2018-11-28
10003,100420042,2018-05-25
10009,100330033,2018-08-12
10001,100180018,2018-04-22
10003,100360036,2018-10-01
10002,100140014,2018-08-08
10008,100430043,2018-03-12
10008,100330033,2018-02-24
10013,100010001,2018-08-11
10014,100330033,2018-06-19
10007,100270027,2018-03-22
10013,100260026,2018-01-08
10008,100360036,2018-07-29
10014,100470047,2018-08-25
10015,100210021,2018-05-07
10007,100020002,2018-03-24
10005,100170017,2018-01-11
10011,100320032,2018-08-31
10009,100020002,2018-07-08
10009,100200020,2018-11-27
10011,100340034,2018-04-02
10006,100360036,2018-03-19
10014,100030003,2018-11-08
10010,100290029,2018-07-04
10012,100180018,2018-03-26
10001,100070007,2018-05-22
10002,100220022,2018-05-24
10003,100190019,2018-01-12
10009,100400040,2018-05-29
10004,100270027,2018-10-04
10005,100120012,2018-09-10
10014,100380038,2018-05-28
10007,100120012,2018-07-07
10009,100290029,2018-06-07
10011,100160016,2018-05-16
10014,100130013,2018-10-19
10004,100440044,2018-07-13
10010,100440044,2018-03-16
10004,100330033,2018-08-08
10008,100070007,2018-08-29
10002,100160016,2018-07-01
10002,100320032,2018-09-10
10007,100220022,2018-10-31
10011,100290029,2018-02-27
10003,100310031,2018-09-03
10013,100280028,2018-11-27
10008,100450045,2018-06-03
10007,100280028,2018-08-27
10005,100290029,2018-05-08
10009,100450045,2018-09-22
10010,100460046,2018-10-25
10015,100430043,2018-05-31
10001,100350035,2018-08-13
10004,100350035,2018-02-09
10015,100270027,2018-12-14
10014,100070007,2018-02-05
10013,100310031,2018-12-01
10003,100120012,2018-03-11
10013,100120012,2018-04-11
10003,100300030,2018-04-17
10004,100460046,2018-02-03
